Instrument;ISIN;WKN;Mnemonic;Ticker
ISHARES ATX UCITS ETF;DE000A0D8Q23;000A0D8Q2;EXXX;EXXX.DE
I.EB.R.GOV.GE.10.5+ U.ETF;DE000A0D8Q31;000A0D8Q3;EXX6;EXX6.DE
IS.DJ U.S.SELEC.DIV.U.ETF;DE000A0D8Q49;000A0D8Q4;EXX5;EXX5.DE
ISH.S.EUR.SMALL 200 U.ETF;DE000A0D8QZ7;000A0D8QZ;EXSE;
MTU AERO ENGINES NA O.N.;DE000A0D9PT0;000A0D9PT;MTX;MTX.DE
SMA SOLAR TECHNOL.AG;DE000A0DJ6J9;000A0DJ6J;S92;S92.DE
BET-AT-HOME.COM AG O.N.;DE000A0DNAY5;000A0DNAY;ACX;ACX.DE
MBB SE O.N.;DE000A0ETBQ4;000A0ETBQ;MBB;MBB.F
IS.DJ CHINA OFFS.50 U.ETF;DE000A0F5UE8;000A0F5UE;EXXU;EXXU.DE
ISHARES NASDAQ-100 U.ETF;DE000A0F5UF5;000A0F5UF;EXXT;EXXT.DE
IS.DJ EUROZ.SUST.SC.U.ETF;DE000A0F5UG3;000A0F5UG;EXXV;EXXV.DE
IS.S.GL.SE.D.100 U.ETF A.;DE000A0F5UH1;000A0F5UH;ISPA;ISPA.DE
IS.S.EU.600 BANK.U.ETF A.;DE000A0F5UJ7;000A0F5UJ;EXV1;EXV1.DE
IS.S.E.600 BA.RE.U.ETF A.;DE000A0F5UK5;000A0F5UK;EXV6;EXV6.DE
ISHS DIV.COMM.SWAP UC.ETF;DE000A0H0728;000A0H072;EXXY;EXXY.DE
IS.DJ AS.PAC.S.D.50 U.ETF;DE000A0H0744;000A0H074;EXXW;EXXW.DE
IS.E.G.B.C.1.5-10.5 U.ETF;DE000A0H0785;000A0H078;EXHF;EXHF.DE
ISHARES NIKKEI 225 U.ETF;DE000A0H08D2;000A0H08D;EXX7;EXX7.DE
IS.S.EU.600 CHEM.U.ETF A.;DE000A0H08E0;000A0H08E;EXV7;EXV7.DE
ISH.S.EU.600 C+M U.ETF A.;DE000A0H08F7;000A0H08F;EXV8;EXV8.DE
IS.S.E.600 FIN.S.U.ETF A.;DE000A0H08G5;000A0H08G;EXH2;EXH2.DE
IS.S.E.600 FO.+B.U.ETF A.;DE000A0H08H3;000A0H08H;EXH3;EXH3.DE
IS.S.E.600 I.G+S.U.ETF A.;DE000A0H08J9;000A0H08J;EXH4;EXH4.DE
IS.S.E.600 INSUR.U.ETF A.;DE000A0H08K7;000A0H08K;EXH5;
IS.S.E.600 MEDIA U.ETF A.;DE000A0H08L5;000A0H08L;EXH6;EXH6.DE
IS.S.E.600 OIL+G.U.ETF A.;DE000A0H08M3;000A0H08M;EXH1;EXH1.DE
ISH.S.E.600 P+HG U.ETF A.;DE000A0H08N1;000A0H08N;EXH7;EXH7.DE
ISH.S.EU.600 RET.U.ETF A.;DE000A0H08P6;000A0H08P;EXH8;EXH8.DE
ISHS STEU600 TEC.ETF EOD;DE000A0H08Q4;000A0H08Q;EXV3;EXV3.DE
ISH.S.EU.600 TEL.U.ETF A.;DE000A0H08R2;000A0H08R;EXV2;EXV2.DE
ISH.S.EU.600 T+L U.ETF A.;DE000A0H08S0;000A0H08S;EXV9;EXV9.DE
H2 CORE AG INH O.N.;DE000A0H1GY2;000A0H1GY;M5S;M5S.HM
MVV ENERGIE AG NA O.N.;DE000A0H52F5;000A0H52F;MVV1;MVV1.DE
PLANOPTIK AG INH O.N.;DE000A0HGQS8;000A0HGQS;P4O;P4O.F
2G ENERGY AG;DE000A0HL8N9;000A0HL8N;2GB;2GB.F
DEUTSCHE WOHNEN SE INH;DE000A0HN5C6;000A0HN5C;DWNI;DWNI.DE
INCITY IMMOBILIEN    O.N.;DE000A0HNF96;000A0HNF9;IC8;IC8.DE
PNE AG  NA O.N.;DE000A0JBPG2;000A0JBPG;PNE3;PNE3.DE
DATAGROUP SE  INH. O.N.;DE000A0JC8S7;000A0JC8S;D6H;D6H.DE
LIMES SCHLOSSKLINIK. O.N.;DE000A0JDBC7;000A0JDBC;LIK;LIK.DU
GATEWAY R.EST.AG O.N.;DE000A0JJTG7;000A0JJTG;GTY;GTY.SG
VERBIO SE INH O.N.;DE000A0JL9W6;000A0JL9W;VBK;VBK.DE
BLUE CAP             O.N.;DE000A0JM2M1;000A0JM2M;B7E;B7E.DE
ACCENTRO R.EST.AG  O.N.;DE000A0KFKB3;000A0KFKB;A4Y;A4Y.DE
ELEXXION AG;DE000A0KFKH0;000A0KFKH;E8X;E8X.DE
NABALTEC AG INH.;DE000A0KPPR7;000A0KPPR;NTG;NTG.DE
MEVIS MEDICAL SOL.NA O.N.;DE000A0LBFE4;000A0LBFE;M3V;M3V.DE
ACONNIC AG INH O.N.;DE000A0LBKW6;000A0LBKW;CFC;CFC.DE
ALSTRIA OFFICE REIT-AG;DE000A0LD2U1;000A0LD2U;AOX;AOX.DE
GERRESHEIMER AG;DE000A0LD6E6;000A0LD6E;GXI;GXI.F
HWA AG  INH.O.N.;DE000A0LR4P1;000A0LR4P;H9W;H9W.DE
STEICO SE;DE000A0LR936;000A0LR93;ST5;ST5.DE
EXASOL AG  NA O.N.;DE000A0LR9G9;000A0LR9G;EXL;DE000A0LR9G9.SG
ADV.BLOCKCHAIN AG INH ON;DE000A0M93V6;000A0M93V;ABX;ABX.DE
NYNOMIC AG  INH O.N.;DE000A0MSN11;000A0MSN1;M7U;M7U.DE
ENVITEC BIOGAS O.N.;DE000A0MVLS8;000A0MVLS;ETG;ETG.DE
DELIGNIT AG      INH.O.N.;DE000A0MZ4B0;000A0MZ4B;DLX;DLX.F
CGRE AG INH O.N.;DE000A0N3EU3;000A0N3EU;CGX;CGX.F
NFON AG  INH O.N.;DE000A0N4N52;000A0N4N5;NFN;NFN.F
ISH.S.EU.600 UTI.U.ETF A.;DE000A0Q4R02;000A0Q4R0;EXH9;EXH9.DE
ISHS SE.600 A+P U.ETF EOD;DE000A0Q4R28;000A0Q4R2;EXV5;EXV5.DE
IS.S.E.600 HEA.C.U.ETF A.;DE000A0Q4R36;000A0Q4R3;EXV4;EXV4.DE
IS.S.E.600 R.EST.U.ETF A.;DE000A0Q4R44;000A0Q4R4;EXI5;EXI5.DE
ISHS DAX ESG UCITS;DE000A0Q4R69;000A0Q4R6;EXIA;EXIA.DE
ISH.MSCI.BRAZIL U.ETF DE;DE000A0Q4R85;000A0Q4R8;4BRZ;4BRZ.DE
I.EB.R.GO.GE.0-1Y UE EOD;DE000A0Q4RZ9;000A0Q4RZ;EXVM;EXVM.DE
HAMBURG.HAFEN LOG.A-SP NA;DE000A0S8488;000A0S848;HHFA;HHFA.DE
STOCK3 AG  NA O.N.;DE000A0S9QZ8;000A0S9QZ;BOG;BOG.DE
OTRS AG IA O.N.;DE000A0S9R37;000A0S9R3;TR9;TR9.F
NORTHERN DATA AG INH O.N.;DE000A0SMU87;000A0SMU8;NB2;DE000A0SMU87.SG
M1 KLINIKEN AG  O.N.;DE000A0STSQ8;000A0STSQ;M12;M12.DE
VARTA AG O.N.;DE000A0TGJ55;000A0TGJ5;VAR1;VAR1.DE
DATRON AG INH.O.N.;DE000A0V9LA7;000A0V9LA;DAR;DAR.DE
AIXTRON SE NA O.N.;DE000A0WMPJ6;000A0WMPJ;AIXA;AIXA.DE
DEMIRE DT.MTS.RE AG;DE000A0XFSF0;000A0XFSF;DMRE;DMRE.DE
DT.ROHSTOFF AG NA O.N.;DE000A0XYG76;000A0XYG7;DR0;DR0.DE
TECHNOTRANS SE NA O.N.;DE000A0XYGA7;000A0XYGA;TTR1;TTR1.F
IBU-TEC ADV.MATER. INH.ON;DE000A0XYHT5;000A0XYHT;IBU;IBU.F
PSI SOFTWARE SE NA O.N.;DE000A0Z1JH9;000A0Z1JH;PSAN;PSAN.DE
ADESSO SE  INH O.N.;DE000A0Z23Q5;000A0Z23Q;ADN1;ADN1.DE
FREENET AG NA O.N.;DE000A0Z2ZZ5;000A0Z2ZZ;FNTN;FNTN.F
ELUMEO SE;DE000A11Q059;000A11Q05;ELB;ELB.DE
HEIDELBERG PHARMA AG O.N.;DE000A11QVV0;000A11QVV;HPHA;HPHA.DE
7C SOLARPARKEN AG  O.N.;DE000A11QW68;000A11QW6;HRPK;HRPK.F
SCOUT24 SE NA O.N.;DE000A12DM80;000A12DM8;G24;G24.DE
MOUNTAIN ALLIANCE NA O.N.;DE000A12UK08;000A12UK0;ECF;ECF.DE
PERFORMANCE ONE AG NA O.N;DE000A12UMB1;000A12UMB;PO1;PO1.F
LAIQON AG INH O.N.;DE000A12UP29;000A12UP2;LQAG;LQAG.DE
NORCOM INF.TECHN. INH ON;DE000A12UP37;000A12UP3;NC5A;NC5A.DE
PAL NEXT AG INH O.N.;DE000A12UPJ7;000A12UPJ;PAL;PAL.F
DEFAMA AG;DE000A13SUL5;000A13SUL;DEF;DEF.DE
HELLA GMBH+CO. KGAA O.N.;DE000A13SX22;000A13SX2;HLE;HLE.DE
DT.KONSUM REIT-AG;DE000A14KRD3;000A14KRD;DKG;DKG.DE
ERNST RUSS AG NA O.N.;DE000A161077;000A16107;HXCK;HXCK.DE
HELLOFRESH SE  INH O.N.;DE000A161408;000A16140;HFG;HFG.F
YOUR FAMILY ENTER.AG NA;DE000A161N14;000A161N1;RTV;RTV.F
GRENKE AG NA O.N.;DE000A161N30;000A161N3;GLJ;GLJ.DE
THE NAGA GROUP AG NA O.N.;DE000A161NR7;000A161NR;N4G;N4G.DE
SINGULUS TECHNOL. EO 1;DE000A1681X5;000A1681X;SNG;SNG.DE
SHAREHOLD.VAL.BET.NA O.N.;DE000A168205;000A16820;SVE;SVE.DE
KPS AG NA O.N.;DE000A1A6V48;000A1A6V4;KSC;KSC.DE
DOCCHECK AG NA O.N.;DE000A1A6WE6;000A1A6WE;AJ91;AJ91.DE
BRENNTAG SE NA O.N.;DE000A1DAHH0;000A1DAHH;BNR;BNR.DE
READCREST CAPITAL AG O.N.;DE000A1E89S5;000A1E89S;EXJ;EXJ.F
SPORTTOTAL AG  INH. O.N.;DE000A1EMG56;000A1EMG5;WIG1;WIG1.DE
TONKENS AGRAR AG;DE000A1EMHE0;000A1EMHE;GTK;GTK.F
FORMYCON AG;DE000A1EWVY8;000A1EWVY;FYB;FYB.DE
ADIDAS AG NA O.N.;DE000A1EWWW0;000A1EWWW;ADS;ADS.DE
CLEARVISE AG INH O.N.;DE000A1EWXA4;000A1EWXA;ABO;ABO.DE
NORMA GROUP SE NA O.N.;DE000A1H8BV3;000A1H8BV;NOEJ;NOEJ.F
GESCO SE NA O.N.;DE000A1K0201;000A1K020;GSC1;GSC1.DE
SUSS MICROTEC SE NA O.N.;DE000A1K0235;000A1K023;SMHN;SMHN.DE
ARTNET AG NA O.N.;DE000A1K0375;000A1K037;ART;ART.F
VONOVIA SE NA O.N.;DE000A1ML7J1;000A1ML7J;VNA;VNA.DE
MEDIOS AG  O.N.;DE000A1MMCC8;000A1MMCC;ILM1;ILM1.F
NETFONDS AG  VNA O.N.;DE000A1MME74;000A1MME7;NF4;NF4.MU
THE PAYM.GR.HLDG KG NA ON;DE000A1MMEV4;000A1MMEV;PGH;DE000A1MMEV4.SG
R. STAHL AG NA O.N.;DE000A1PHBB5;000A1PHBB;RSL2;RSL2.F
HUGO BOSS AG NA O.N.;DE000A1PHFF7;000A1PHFF;BOSS;BOSS.DE
RCM BETEILIGUNGS NA. O.N.;DE000A1RFMY4;000A1RFMY;RCMN;RCMN.DE
SM WIRTSCHAFTSBER.NA.O.N.;DE000A1RFMZ1;000A1RFMZ;SMWN;SMWN.DE
A.S.CREATION TAPETEN NA;DE000A1TNNN5;000A1TNNN;ACWN;ACWN.F
STS GROUP AG  O.N.;DE000A1TNU68;000A1TNU6;SF3;SF3.F
DT.BETEILIG.AG   NA O.N.;DE000A1TNUT7;000A1TNUT;DBAN;DBAN.F
BITCOIN GROUP SE  O.N.;DE000A1TNV91;000A1TNV9;ADE;ADE.DE
MPC MUENCH.PET.CAP.;DE000A1TNWJ4;000A1TNWJ;MPCK;MPCK.DE
ERWE IMMOB. AG INH O.N.;DE000A1X3WX6;000A1X3WX;ERWE;ERWE.DE
BRANICKS GROUP AG NA O.N.;DE000A1X3XX4;000A1X3XX;BRNK;
BASTEI LUEBBE AG  O.N.;DE000A1X3YY0;000A1X3YY;BST;BST.DE
FCR IMMOBILIEN AG NA O.N.;DE000A1YC913;000A1YC91;FC9;FC9.DE
META WOLF AG INH O.N.;DE000A254203;000A25420;WOLF;WOLF.F
INTERSHOP COMM.  INH O.N.;DE000A254211;000A25421;ISHA;ISHA.DE
HEIDEL.BETEIL.HLDG O.N.;DE000A254294;000A25429;IPOK;DE000A254294.SG
DT.KONSUM REIT-AG  NEUE;DE000A254V12;000A254V1;DKG0;
PYRAMID AG;DE000A254W52;000A254W5;M3BK;M3BK.DE
FR.VORWERK GRP SE INH ON;DE000A255F11;000A255F1;VH2;VH2.BE
ENAPTER AG  INH O.N.;DE000A255G02;000A255G0;H2O;H2O.F
BITWISE EURO O.END ETP;DE000A27Z304;000A27Z30;BTCE;DE000A27Z304.SG
BITWISE EURO O.END ETP;DE000A27Z304;000A27Z30;BTCF;DE000A27Z304.SG
COMPUGROUP MED. NA O.N.;DE000A288904;000A28890;COP;DE000A288904.SG
ARZNEIWERK AG VIDA INH ON;DE000A289B07;000A289B0;TLIK;TLIK.F
MPH HEALTH CARE  INH O.N;DE000A289V03;000A289V0;93M1;93M1.F
VANECK BITCOIN ETN29;DE000A28M8D0;000A28M8D;VBTC;VBTC.DE
DF DT.FORFAIT AG  NA O.N.;DE000A2AA204;000A2AA20;DFTK;DFTK.DE
SEVEN PRINCIPLES AG O.N.;DE000A2AAA75;000A2AAA7;T3T1;T3T1.DE
SBF AG;DE000A2AAE22;000A2AAE2;CY1K;CY1K.F
NET DIGITAL AG INH O.N.;DE000A2BPK34;000A2BPK3;VRL;VRL.DU
MAX AUTOMATION SE NA O.N.;DE000A2DA588;000A2DA58;MXHN;MXHN.F
AUMANN AG  INH O.N.;DE000A2DAM03;000A2DAM0;AAG;AAG.DE
DELIVERY HERO SE NA O.N.;DE000A2E4K43;000A2E4K4;DHER;DHER.DE
VOLTABOX AG  INH. O.N.;DE000A2E4LE9;000A2E4LE;VBX;VBX.F
NORATIS AG  INH. O.N.;DE000A2E4MK4;000A2E4MK;NUVA;NUVA.DE
CYAN AG  INH O.N.;DE000A2E4SV8;000A2E4SV;CYR;CYR.DE
H+R KGAA  INH. O.N.;DE000A2E4T77;000A2E4T7;2HRA;2HRA.DE
SERVICEWARE SE  INH O.N.;DE000A2G8X31;000A2G8X3;SJJ;SJJ.DE
PYRUM INNOV.AG  NA O.N.;DE000A2G8ZX8;000A2G8ZX;PYR;PYRUM.OL
DERMAPHARM HLDG INH O.N.;DE000A2GS5D8;000A2GS5D;DMP;DMP.DE
SMARTBROKER HLDG INH O.N.;DE000A2GS609;000A2GS60;SB1;SB1.DE
CR ENERGY AG  INH O.N.;DE000A2GS625;000A2GS62;CRZK;CRZK.DE
ALLGEIER SE  NA O.N.;DE000A2GS633;000A2GS63;AEIN;AEIN.DE
BROCKHAUS TECHN. NA O.N.;DE000A2GSU42;000A2GSU4;BKHT;BKHT.DE
029 GROUP SE INH O.N.;DE000A2LQ2D0;000A2LQ2D;Z29;Z29.BE
AUTO1 GROUP SE  INH O.N.;DE000A2LQ884;000A2LQ88;AG1;DE000A2LQ884.SG
WESTWING GROUP  INH. O.N.;DE000A2N4H07;000A2N4H0;WEW;WEW.F
JENOPTIK AG  NA O.N.;DE000A2NB601;000A2NB60;JEN;JEN.DE
MUTARES KGAA  NA O.N.;DE000A2NB650;000A2NB65;MUX;MUX.BE
INSTONE REAL EST.GRP O.N.;DE000A2NBX80;000A2NBX8;INS;INS.F
123FAHRSCHULE SE INH O.N.;DE000A2P4HL9;000A2P4HL;123F;123F.F
PHARMASGP HOLDING SE O.N.;DE000A2P4LJ5;000A2P4LJ;PSG;PSG.DE
PLATFORM GRP AG INH O.N.;DE000A2QEFA1;000A2QEFA;TPG;TPG.F
ISHS TECDAX UCITS ETF EOD;DE000A2QP323;000A2QP32;EXIB;EXIB.DE
ISHARES MDAX UC.ETF EOD;DE000A2QP349;000A2QP34;EXID;EXID.DE
ISHS SEU600 A+P U.ETF EOA;DE000A2QP4A8;000A2QP4A;EXHG;SAOT.AS
ISH.STOX.EUROPE 600 EO AC;DE000A2QP4B6;000A2QP4B;EXIE;EXIE.DE
SPIELVGG UNTERHACH. NA ON;DE000A2TR919;000A2TR91;S6P;DE000A2TR919.SG
CIRCUS SE INH O.N.;DE000A2YN355;000A2YN35;CA1;CA1.DE
KNAUS AG  INH O.N.;DE000A2YN504;000A2YN50;KTA;KTA.DE
UMT UTD MOB.TECHN. O.N.;DE000A2YN702;000A2YN70;UMDK;UMDK.DE
PFERDEWETTEN.DE AG NA ON;DE000A2YN777;000A2YN77;EMH;DE000A2YN777.SG
TEAMVIEWER SE  INH O.N.;DE000A2YN900;000A2YN90;TMV;TMV.F
ALZCHEM GROUP AG INH O.N.;DE000A2YNT30;000A2YNT3;ACT;DE000A2YNT30.SG
VIB VERMOEGEN  NA O.N.;DE000A2YPDD0;000A2YPDD;VIH1;VIH1.F
MYNARIC AG  NA O.N.;DE000A31C305;000A31C30;M0YN;M0YN.HM
ALTECH ADV.MAT. NA O.N.;DE000A31C3Y4;000A31C3Y;AMA;AMA.F
SOLUTIANCE AG  NA O.N.;DE000A32VN59;000A32VN5;SLSA;SLSA.SG
LUEBKE KELBER AG NA O.N.;DE000A35JR33;000A35JR3;SZ50;SZ50.DU
CLIQ DIGITAL AG  NA O.N.;DE000A35JS40;000A35JS4;CLIQ;CLIQ.DE
CANNOVUM CANNABIS INH ON;DE000A37FUP2;000A37FUP;27N0;27N0.F
DARWIN AG INH O.N.;DE000A3C35W0;000A3C35W;7V0;7V0.MU
SDM SE  INH O.N.;DE000A3CM708;000A3CM70;75S;75S.F
APONTIS PHARM. AG INH ON;DE000A3CMGM5;000A3CMGM;APPH;APPH.DE
HGEARS AG  INH O.N.;DE000A3CMGN3;000A3CMGN;HGEA;HGEA.BE
TOKENTUS INVESTMENT AG;DE000A3CN9R8;000A3CN9R;14D;14D.DE
ABOUT YOU HOLDING SE;DE000A3CNK42;000A3CNK4;YOU;YOU.BE
STAIGE ONE AG INH O.N.;DE000A3CQ5L6;000A3CQ5L;SPC;SPC.DU
BIKE24 HLDG O.N.;DE000A3CQ7F4;000A3CQ7F;BIKE;DE000A3CQ7F4.SG
CHERRY SE  O.N.;DE000A3CRRN9;000A3CRRN;C3RY;C3RY.DE
MISTER SPEX SE INH O.N.;DE000A3CSAE2;000A3CSAE;MRX;DE000A3CSAE2.SG
EV DIGITAL INVEST INH.AKT;DE000A3DD6W5;000A3DD6W;ENGL;ENGL.F
SMT SCHARF AG NA O.N.;DE000A3DRAE2;000A3DRAE;S188;S188.DE
CANTOURAGE GROUP SE O.N.;DE000A3DSV01;000A3DSV0;HIGH;HIGH.F
NEON EQUITY  NA O.N.;DE000A3DW408;000A3DW40;D77;D77.DE
IONOS GROUP SE NA O.N.;DE000A3E00M1;000A3E00M;IOS;IOS.DE
PARTEC AG  VNA O.N.;DE000A3E5A34;000A3E5A3;JY0;JY0.F
SYNBIOTIC SE  NA O.N.;DE000A3E5A59;000A3E5A5;SBX;SBX.BE
MHP HOTEL AG INH O.N.;DE000A3E5C24;000A3E5C2;CDZ0;CDZ0.MU
FUCHS SE  NA ST O.N.;DE000A3E5D56;000A3E5D5;FPE;FPE.DE
FUCHS SE  VZO NA O.N.;DE000A3E5D64;000A3E5D6;FPE3;FPE3.DE
RINGMETALL SE  NA O.N.;DE000A3E5E55;000A3E5E5;HP3A;HP3A.DE
VEGANZ GROUP AG INH. O.N.;DE000A3E5ED2;000A3E5ED;VEZ;VEZ.DE
SCHOTT PHARMA INH O.N.;DE000A3ENQ51;000A3ENQ5;1SXP;1SXP.DE
GORE GERM.OFF.R.E. NA ON;DE000A3EX3G0;000A3EX3G;GAG0;GAG0.DE
PFERDEWETTEN.DE NA NEUE;DE000A3EX3Q9;000A3EX3Q;EMH0;EMH0.DE
MWB FAIRTRADE WPHDL.NA ON;DE000A3EYLC7;000A3EYLC;MWB0;MWB0.DE
DDA ETP O.END CS10;DE000A3G3ZD0;000A3G3ZD;SLCT;DE000A3G3ZD0.SG
BITWISE EURO O.END ETP;DE000A3G3ZL3;000A3G3ZL;DA20;DE000A3G3ZL3.SG
BITWISE EURO O.END ETP;DE000A3G3ZL3;000A3G3ZL;DA21;DE000A3G3ZL3.SG
BITWISE EURO ETHEREUM STA;DE000A3G90G9;000A3G90G;ET32;DE000A3G90G9.SG
BITWISE EURO ETHEREUM STA;DE000A3G90G9;000A3G90G;ET33;DE000A3G90G9.SG
DDA ETP O.END BITMAC;DE000A3G9SE0;000A3G9SE;BMAC;DE000A3G9SE0.SG
DDA ETP O.END ETN;DE000A3GK2N1;000A3GK2N;XBTI;DE000A3GK2N1.SG
BITWISE EURO O.END ETP;DE000A3GMKD7;000A3GMKD;ZETH;DE000A3GMKD7.SG
BITWISE EURO O.END ETP;DE000A3GMKD7;000A3GMKD;ZETI;DE000A3GMKD7.SG
BITWISE EURO O.END ETP;DE000A3GN5J9;000A3GN5J;ELTC;DE000A3GN5J9.SG
BITWISE EURO O.END ETP;DE000A3GN5J9;000A3GN5J;ELTE;DE000A3GN5J9.SG
VANECK ETHEREUM ETN29;DE000A3GPSP7;000A3GPSP;VETH;DE000A3GPSP7.SG
VANECK POLKADOT ETN29;DE000A3GSUC5;000A3GSUC;VDOT;DE000A3GSUC5.SG
VANECK SOLANA ETN29;DE000A3GSUD3;000A3GSUD;VS0L;VSOL.SW
VANECK TRON ETN29;DE000A3GSUE1;000A3GSUE;VTRX;DE000A3GSUE1.SG
DDA ETP ETHEREU.O.END ETP;DE000A3GTML1;000A3GTML;IETH;DE000A3GTML1.SG
VANECK AVALANCHE ETN29;DE000A3GV1T7;000A3GV1T;VAVA;DE000A3GV1T7.SG
VANECK POLYGON ETN29;DE000A3GV1U5;000A3GV1U;VP0L;DE000A3GV1U5.SG
BITWISE EURO O.END ETP;DE000A3GVKY4;000A3GVKY;RDAN;DE000A3GVKY4.SG
BITWISE EURO O.END ETP;DE000A3GVKZ1;000A3GVKZ;ESOL;DE000A3GVKZ1.SG
BITWISE EURO O.END ETP;DE000A3GVKZ1;000A3GVKZ;ESOM;DE000A3GVKZ1.SG
VANECK CRYPTO LEAD. ETN29;DE000A3GWEU3;000A3GWEU;VT0P;DE000A3GWEU3.SG
VANECK ALGORAND ETN29;DE000A3GWNE8;000A3GWNE;VGND;DE000A3GWNE8.SG
VANECK CONTRACT L. ETN29;DE000A3GXNT4;000A3GXNT;VSMA;DE000A3GXNT4.SG
VANECK CHAINLINK ETN29;DE000A3GXNV0;000A3GXNV;VLNK;DE000A3GXNV0.SG
BITWISE EURO O.END ETN;DE000A3GYNB0;000A3GYNB;GXRP;DE000A3GYNB0.SG
AAP IMPLANTATE AG O.N.;DE000A3H2101;000A3H210;AAQ1;AAQ1.DE
BINECT AG  INH O.N.;DE000A3H2135;000A3H213;MA10;DE000A3H2135.SG
NAGARRO SE  NA O.N.;DE000A3H2200;000A3H220;NA9;DE000A3H2200.SG
HAMBORNER REIT AG NA O.N.;DE000A3H2333;000A3H233;HABA;DE000A3H2333.SG
2INVEST AG  NA O.N.;DE000A3H3L44;000A3H3L4;2INV;DE000A3H3L44.SG
VIROMED MEDICAL  INH O.N.;DE000A3MQR65;000A3MQR6;VMED;VMED.F
GBS SOFTWARE AG INH O.N.;DE000A3MQR99;000A3MQR9;INW;INW.DE
ROSTRA AGC INH O.N.;DE000A3MQRK6;000A3MQRK;3330;3330.F
PRO DV AG INH O.N.;DE000A4096T1;000A4096T;PDA0;PDA0.DE
PENTIXAPHARM HLDG NA O.N.;DE000A40AEG0;000A40AEG;PTP;PTP.F
MEDIGENE AG NA O.N.;DE000A40ESG2;000A40ESG;MDG1;MDG1.DE
READCREST CAPITAL AG JGE;DE000A40ESP3;000A40ESP;EXJJ;EXJJ.F
EINHELL GERMANY VZO O.N.;DE000A40ESU3;000A40ESU;EIN;EIN.F
AUDIUS SE  NA O.N.;DE000A40ET13;000A40ET1;3ITN;3ITN.F
GOING PUBLIC MEDIA NA ON;DE000A40KXC8;000A40KXC;G6P0;G6P0.DE
GROUNDS R.EST. NA O.N.;DE000A40KXL9;000A40KXL;AMM;AMM.DE
EIGENH.UNION 1898 INH ON;DE000A40KY00;000A40KY0;JZ60;JZ60.F
COVESTRO AG O.N. Z.VERK.;DE000A40KY26;000A40KY2;1CO;1CO.F
AVEMIO AG NA O.N.;DE000A40KY59;000A40KY5;AV2;AV2.DE
COREO AG INH O.N.;DE000A40KYB8;000A40KYB;COR;COR.DE
NEXUS AG O.N. Z.VERK.;DE000A40UT39;000A40UT3;NXUV;NXUV.DE
DELIVERY HERO SE NA NEUE;DE000A40UT88;000A40UT8;DHE0;
MTU AERO ENGINES NA NEUE;DE000A40UT96;000A40UT9;MTXN;
COMPUGROUP MED. Z.VERK.;DE000A40UTN2;000A40UTN;COP0;COP0.F
BECHTLE AG O.N. NEUE;DE000A40UTS1;000A40UTS;BC80;
DEUTSCHE POST NA O.N.NEUE;DE000A40UTV5;000A40UTV;DHLN;
SNP SCHN..-NEUREIT.Z.VERK;DE000A40UTX1;000A40UTX;SHF0;SHF0.F
ABOUT YOU HLDG Z.VERK.;DE000A40UTY9;000A40UTY;YOU0;YOU0.F
DT.BETEILIG. NA O.N. NEUE;DE000A40UU51;000A40UU5;DBAL;
BITWISE EURO O.END ETP;DE000A4A59D2;000A4A59D;BSOL;DE000A4A59D2.SG
BITWISE EURO O.END ETP;DE000A4A59D2;000A4A59D;BSOM;DE000A4A59D2.SG
BITWISE EURO CORE BITCOIN;DE000A4AER62;000A4AER6;BTC1;DE000A4AER62.SG
BITWISE EURO CORE BITCOIN;DE000A4AER62;000A4AER6;BTC2;DE000A4AER62.SG
BIOXXMED AG INH O.N.;DE000A4BGGE4;000A4BGGE;T5O0;T5O0.F
BIOFRONTERA AG NA O.N.;DE000A4BGGM7;000A4BGGM;B8FK;B8FK.F
BASF SE NA O.N.;DE000BASF111;000BASF11;BAS;BAS.DE
BAYER AG NA O.N.;DE000BAY0017;000BAY001;BAYN;BAYN.DE
DOUGLAS AG  INH O.N.;DE000BEAU7Y1;000BEAU7Y;DOU;DOU.DE
METRO AG   ST O.N.;DE000BFB0019;000BFB001;B4B;B4B.DE
METRO AG   VZO O.N.;DE000BFB0027;000BFB002;B4B3;B4B3.DE
BIO-GATE AG O.N.;DE000BGAG981;000BGAG98;BIG1;BIG1.F
COMMERZBANK AG;DE000CBK1001;000CBK100;CBK;CBK.DE
DAIMLER TRUCK HLDG NA ON;DE000DTR0CK8;000DTR0CK;DTG;DTG.DE
DWS GROUP GMBH+CO.KGAA ON;DE000DWS1007;000DWS100;DWS;DWS.DE
E.ON SE NA O.N.;DE000ENAG999;000ENAG99;EOAN;EOAN.DE
SIEMENS ENERGY AG NA O.N.;DE000ENER6Y0;000ENER6Y;ENR;ENR.DE
SGIS O.E. ETC ICE EUA;DE000ETC0001;000ETC000;SGS1;DE000ETC0001.SG
SGIS O.E. ETC COPPER;DE000ETC0787;000ETC078;42GI;DE000ETC0787.SG
SGIS O.E. ETC COFFEE;DE000ETC0829;000ETC082;42G1;DE000ETC0829.SG
AMU.MU.AS.PTF U.ETF DIST;DE000ETF7011;000ETF701;F701;F701.DE
AM.MU.AS.P.DEF.U.ETF DIST;DE000ETF7029;000ETF702;F702;F702.DE
AM.MU.AS.P.OFF.U.ETF DIST;DE000ETF7037;000ETF703;F703;F703.DE
